,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed,lat,lon,e_lat,e_lon,difference
444,444,444,450,25.368675,51.55128,0.0,0.0,1561285827879,6,GSM,False,40721,9402,427,1,-91,3,0.0,25.370682,51.550003,25.366900038291032,51.5504447540279,0.21446713916129656
445,445,445,451,25.368675,51.55128,0.0,0.0,1561285827879,7,GSM,True,17383,120,427,2,13,4,0.0,25.368232,51.550961,25.366900038291032,51.5504447540279,0.21446713916129656
446,446,446,452,25.368675,51.55128,0.0,0.0,1561285827879,8,GSM,False,17382,120,427,2,-17,4,0.0,25.3502655,51.53068542,25.366900038291032,51.5504447540279,0.21446713916129656
447,447,447,453,25.368675,51.55128,0.0,0.0,1561285827879,9,GSM,False,16573,120,427,2,-39,4,0.0,25.33103943,51.53343201,25.366900038291032,51.5504447540279,0.21446713916129656
448,448,448,454,25.368675,51.55128,0.0,0.0,1561285827879,10,GSM,False,17381,120,427,2,-57,4,0.0,25.362966,51.554779,25.366900038291032,51.5504447540279,0.21446713916129656
449,449,449,455,25.368675,51.55128,0.0,0.0,1561285827879,11,GSM,False,16572,120,427,2,-71,4,0.0,25.336533,51.532517,25.366900038291032,51.5504447540279,0.21446713916129656
450,450,450,456,25.368675,51.55128,0.0,0.0,1561285827879,12,GSM,False,10022,120,427,2,-79,4,0.0,25.368139,51.546364,25.366900038291032,51.5504447540279,0.21446713916129656
451,451,451,457,25.368675,51.55128,0.0,0.0,1561285827879,13,GSM,False,10681,120,427,2,-81,4,0.0,25.359568,51.564293,25.366900038291032,51.5504447540279,0.21446713916129656
452,452,452,458,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,0,GSM,True,40283,9402,427,1,-1,4,0.0,25.369492,51.550598,25.366900038291032,51.5504447540279,0.20981217690635795
453,453,453,459,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,1,GSM,False,40282,9402,427,1,-27,4,0.0,25.367661,51.550369,25.366900038291032,51.5504447540279,0.20981217690635795
454,454,454,460,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,2,GSM,False,40281,9402,427,1,-53,4,0.0,25.368256,51.557053,25.366900038291032,51.5504447540279,0.20981217690635795
455,455,455,461,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,3,GSM,False,25642,9402,427,1,-79,4,0.0,25.368494,51.552817,25.366900038291032,51.5504447540279,0.20981217690635795
456,456,456,462,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,4,GSM,False,22961,9401,427,1,-87,4,0.0,25.329208,51.529876,25.366900038291032,51.5504447540279,0.20981217690635795
457,457,457,463,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,5,GSM,False,29173,9402,427,1,-87,4,0.0,25.366287,51.551102,25.366900038291032,51.5504447540279,0.20981217690635795
458,458,458,464,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,6,GSM,False,40721,9402,427,1,-91,3,0.0,25.370682,51.550003,25.366900038291032,51.5504447540279,0.20981217690635795
459,459,459,465,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,7,GSM,True,17383,120,427,2,13,4,0.0,25.368232,51.550961,25.366900038291032,51.5504447540279,0.20981217690635795
460,460,460,466,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,8,GSM,False,17382,120,427,2,-17,4,0.0,25.3502655,51.53068542,25.366900038291032,51.5504447540279,0.20981217690635795
461,461,461,467,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,9,GSM,False,16573,120,427,2,-39,4,0.0,25.33103943,51.53343201,25.366900038291032,51.5504447540279,0.20981217690635795
462,462,462,468,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,10,GSM,False,17381,120,427,2,-57,4,0.0,25.362966,51.554779,25.366900038291032,51.5504447540279,0.20981217690635795
463,463,463,469,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,11,GSM,False,16572,120,427,2,-71,4,0.0,25.336533,51.532517,25.366900038291032,51.5504447540279,0.20981217690635795
464,464,464,470,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,12,GSM,False,10022,120,427,2,-79,4,0.0,25.368139,51.546364,25.366900038291032,51.5504447540279,0.20981217690635795
465,465,465,471,25.36863333333333,51.55127000000001,0.0,0.0,1561285828963,13,GSM,False,10681,120,427,2,-81,4,0.0,25.359568,51.564293,25.366900038291032,51.5504447540279,0.20981217690635795
466,466,466,472,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,0,GSM,True,40283,9402,427,1,-1,4,0.0,25.369492,51.550598,25.366900038291032,51.5504447540279,0.2036083252019229
467,467,467,473,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,1,GSM,False,40282,9402,427,1,-27,4,0.0,25.367661,51.550369,25.366900038291032,51.5504447540279,0.2036083252019229
468,468,468,474,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,2,GSM,False,40281,9402,427,1,-53,4,0.0,25.368256,51.557053,25.366900038291032,51.5504447540279,0.2036083252019229
469,469,469,475,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,3,GSM,False,25642,9402,427,1,-79,4,0.0,25.368494,51.552817,25.366900038291032,51.5504447540279,0.2036083252019229
470,470,470,476,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,4,GSM,False,22961,9401,427,1,-87,4,0.0,25.329208,51.529876,25.366900038291032,51.5504447540279,0.2036083252019229
471,471,471,477,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,5,GSM,False,29173,9402,427,1,-87,4,0.0,25.366287,51.551102,25.366900038291032,51.5504447540279,0.2036083252019229
472,472,472,478,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,6,GSM,False,40721,9402,427,1,-91,3,0.0,25.370682,51.550003,25.366900038291032,51.5504447540279,0.2036083252019229
473,473,473,479,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,7,GSM,True,17383,120,427,2,13,4,0.0,25.368232,51.550961,25.366900038291032,51.5504447540279,0.2036083252019229
474,474,474,480,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,8,GSM,False,17382,120,427,2,-17,4,0.0,25.3502655,51.53068542,25.366900038291032,51.5504447540279,0.2036083252019229
475,475,475,481,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,9,GSM,False,16573,120,427,2,-39,4,0.0,25.33103943,51.53343201,25.366900038291032,51.5504447540279,0.2036083252019229
476,476,476,482,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,10,GSM,False,17381,120,427,2,-57,4,0.0,25.362966,51.554779,25.366900038291032,51.5504447540279,0.2036083252019229
477,477,477,483,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,11,GSM,False,16572,120,427,2,-71,4,0.0,25.336533,51.532517,25.366900038291032,51.5504447540279,0.2036083252019229
478,478,478,484,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,12,GSM,False,10022,120,427,2,-79,4,0.0,25.368139,51.546364,25.366900038291032,51.5504447540279,0.2036083252019229
479,479,479,485,25.368581666666667,51.55124666666667,0.0,0.0,1561285829936,13,GSM,False,10681,120,427,2,-81,4,0.0,25.359568,51.564293,25.366900038291032,51.5504447540279,0.2036083252019229
480,480,480,486,25.36854,51.55122833333333,0.0,0.0,1561285830823,0,GSM,True,40283,9402,427,1,-1,4,0.0,25.369492,51.550598,25.366900038291032,51.5504447540279,0.1986245351984329
481,481,481,487,25.36854,51.55122833333333,0.0,0.0,1561285830823,1,GSM,False,40282,9402,427,1,-27,4,0.0,25.367661,51.550369,25.366900038291032,51.5504447540279,0.1986245351984329
482,482,482,488,25.36854,51.55122833333333,0.0,0.0,1561285830823,2,GSM,False,40281,9402,427,1,-53,4,0.0,25.368256,51.557053,25.366900038291032,51.5504447540279,0.1986245351984329
