,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,lat,lon
3118,3118,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,1,GSM,False,25451,9402,427,1,-5,4,25.374525,51.540157
3119,3119,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,2,GSM,False,25452,9402,427,1,-41,4,25.359192,51.527252
3120,3120,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,3,GSM,False,43951,9402,427,1,-57,4,25.37047,51.53982
3121,3121,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,4,GSM,False,49222,9402,427,1,-63,4,25.375443,51.544876
3122,3122,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,5,GSM,False,20003,9402,427,1,-73,4,25.3732,51.546154
3123,3123,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,6,GSM,True,17362,120,427,2,-57,4,25.374465,51.54201
3124,3124,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,7,GSM,False,16851,120,427,2,-11,4,25.373954,51.539088
3125,3125,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,8,GSM,False,10571,120,427,2,-37,4,25.369661,51.543964
3126,3126,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,9,GSM,False,16853,120,427,2,-45,4,25.370248,51.533936
3127,3127,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,10,GSM,False,10023,120,427,2,-53,4,25.366745,51.538238
3128,3128,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,11,GSM,False,16401,120,427,2,-61,4,25.364914,51.52359
3129,3129,25.37362666666667,51.54005166666668,0.0,0.0,1561286133962,12,GSM,False,10583,120,427,2,-63,4,25.374321,51.544645
3130,3130,25.373175,51.53944833333333,0.0,0.0,1561286138195,0,GSM,True,49543,9402,427,1,-67,4,25.388344,51.551006
3131,3131,25.373175,51.53944833333333,0.0,0.0,1561286138195,1,GSM,False,25451,9402,427,1,-5,4,25.374525,51.540157
3132,3132,25.373175,51.53944833333333,0.0,0.0,1561286138195,2,GSM,False,25452,9402,427,1,-41,4,25.359192,51.527252
3133,3133,25.373175,51.53944833333333,0.0,0.0,1561286138195,3,GSM,False,43951,9402,427,1,-57,4,25.37047,51.53982
3134,3134,25.373175,51.53944833333333,0.0,0.0,1561286138195,4,GSM,False,49222,9402,427,1,-63,4,25.375443,51.544876
3135,3135,25.373175,51.53944833333333,0.0,0.0,1561286138195,5,GSM,False,49513,9402,427,1,-63,4,25.37044,51.525829
3136,3136,25.373175,51.53944833333333,0.0,0.0,1561286138195,6,GSM,False,20003,9402,427,1,-73,4,25.3732,51.546154
3137,3137,25.373175,51.53944833333333,0.0,0.0,1561286138195,7,GSM,True,16851,120,427,2,-9,4,25.373954,51.539088
3138,3138,25.373175,51.53944833333333,0.0,0.0,1561286138195,8,GSM,False,10023,120,427,2,-31,4,25.366745,51.538238
3139,3139,25.373175,51.53944833333333,0.0,0.0,1561286138195,9,GSM,False,10193,120,427,2,-37,4,25.368576,51.523819
3140,3140,25.373175,51.53944833333333,0.0,0.0,1561286138195,10,GSM,False,10571,120,427,2,-49,4,25.369661,51.543964
3141,3141,25.373175,51.53944833333333,0.0,0.0,1561286138195,11,GSM,False,10761,120,427,2,-51,4,25.385899,51.543892
3142,3142,25.373175,51.53944833333333,0.0,0.0,1561286138195,12,GSM,False,16853,120,427,2,-51,4,25.370248,51.533936
3143,3143,25.373175,51.53944833333333,0.0,0.0,1561286138195,13,GSM,False,10583,120,427,2,-63,4,25.374321,51.544645
3144,3144,25.373033333333336,51.539305,0.0,0.0,1561286140143,0,GSM,True,49543,9402,427,1,-67,4,25.388344,51.551006
3145,3145,25.373033333333336,51.539305,0.0,0.0,1561286140143,1,GSM,False,25451,9402,427,1,-5,4,25.374525,51.540157
3146,3146,25.373033333333336,51.539305,0.0,0.0,1561286140143,2,GSM,False,25452,9402,427,1,-41,4,25.359192,51.527252
