BSSID,Lat,Long
1a:59:c0:40:ed:9f,25.32100868,51.50088501
24:09:95:47:44:a0,25.32101822,51.50096512
98:de:d0:28:3c:b2,25.32103157,51.50091934
58:2a:f7:be:15:d8,25.32097244,51.50093842
78:1d:ba:cb:9e:6b,25.32098389,51.50097275
c4:12:f5:7a:9c:1e,25.32083321,51.50104904
d0:6f:82:8e:1e:f0,25.32081985,51.4997139
c4:e9:84:26:54:fc,25.32099533,51.50095367
96:3b:ad:a8:1a:be,25.31907082,51.48448563
92:3b:ad:a8:10:c8,25.32035065,51.49570084
f4:e3:fb:fe:27:6c,25.32098961,51.50086975
92:3b:ad:a8:1a:be,25.32039452,51.49626541
96:3b:ad:a8:10:c8,25.319767,51.49057007
b0:4e:26:32:3a:02,25.32107925,51.50104904
b0:4e:26:32:39:90,25.3209877,51.50101471
18:d2:76:7a:a4:d4,25.32121277,51.50107193
54:89:98:cc:d9:e2,25.32075691,51.49907303
4c:4e:03:35:12:f9,25.31982803,51.50107193
b6:30:52:b2:d2:02,25.32122993,51.50111771
a4:93:4c:c3:56:39,25.32079506,51.50111389
a0:6f:aa:9c:1b:e0,25.32101631,51.50089264
ac:84:c6:a8:c7:66,25.32090569,51.50095367
18:a6:f7:39:c8:d1,25.31981087,51.50111389
f4:06:8d:b1:1f:70,25.31990433,51.50111389
18:a6:f7:39:c8:d0,25.31994057,51.50111389
1a:59:c0:43:ca:64,25.3197422,51.50110626
7c:11:cb:e5:9c:b0,25.31933975,51.50111771
7c:11:cb:e4:38:58,25.31926346,51.50111771
58:ef:68:07:b0:44,25.31889343,51.50112152
dc:16:b2:28:87:ad,25.31826401,51.4957962
4c:1f:cc:70:cb:b2,25.31819344,51.5009346
58:ef:68:a4:ee:83,25.317276,51.50048065
60:31:97:fa:01:5f,25.31676102,51.4994812
14:9d:09:2e:2b:6c,25.31692123,51.49873734
58:2a:f7:f7:1e:14,25.31731033,51.49782562
0c:b5:27:db:7f:1d,25.31728745,51.49783707
f4:f2:6d:59:72:8e,25.31724358,51.49695587
c4:07:2f:d4:08:b4,25.31759262,51.49684525
f4:91:1e:09:7d:0c,25.31764412,51.49704742
c4:9f:4c:c4:4f:43,25.31752396,51.49727249
c4:07:2f:d1:e5:24,25.31772614,51.49687576
7e:2e:dd:0f:d7:0a,25.31759453,51.49710846
3e:57:6c:98:8f:76,25.31775284,51.49674606
74:88:2a:9f:c8:ed,25.31851768,51.4948082
e4:fb:5d:00:75:b4,25.31890678,51.49385834
0c:b5:27:da:a3:75,25.31944275,51.49289322
58:2a:f7:f7:36:c8,25.31922531,51.49323654
14:a5:1a:14:5b:84,25.31962585,51.49229431
58:2a:f7:be:60:8c,25.31969833,51.49220276
58:2a:f7:be:52:18,25.31996346,51.49155045
90:67:1c:a6:83:ec,25.32011032,51.49123764
b0:4e:26:2c:63:3c,25.32004929,51.49118805
28:3b:82:cc:92:ae,25.31997681,51.49129486
14:91:82:fb:9f:15,25.32068825,51.48973465
