radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,427,1,9101,23972,0,51.500904,25.228112,2079,1235,1,1351510978,1491498356,0
GSM,427,1,9101,40411,0,51.502426,25.237677,1685,192,1,1351510979,1476006102,0
GSM,427,1,9101,24462,0,51.503272,25.230953,1397,185,1,1351510985,1491498356,0
GSM,427,1,9101,20031,0,51.490678,25.249698,3015,264,1,1351510987,1476923810,0
GSM,427,1,9101,25133,0,51.511417,25.226458,2809,65,1,1351510987,1486703068,0
GSM,427,1,9101,23363,0,51.499672,25.214195,2136,24,1,1351510987,1421079777,0
GSM,427,1,9101,21073,0,51.536174,25.243495,6280,4,1,1351510988,1436971121,0
GSM,427,1,9201,21421,0,51.457724,25.193104,1426,272,1,1351510989,1478779311,0
GSM,427,1,9201,21422,0,51.456446,25.188176,1000,67,1,1351510990,1478779311,0
GSM,427,1,9201,29132,0,51.44603,25.188846,1305,59,1,1351510990,1489674801,0
GSM,427,1,9201,25731,0,51.446402,25.206932,7006,59,1,1351510990,1478779311,0
GSM,427,1,9201,25903,0,51.442694,25.212512,1000,68,1,1351510990,1432154242,0
GSM,427,1,9201,29502,0,51.439053,25.215717,1000,40,1,1351510991,1362022667,0
GSM,427,1,9201,24123,0,51.443193,25.219309,5008,100,1,1351510991,1461661646,0
GSM,427,1,9201,24121,0,51.451213,25.224457,1000,108,1,1351510991,1483653764,0
GSM,427,1,9201,20101,0,51.469065,25.234269,4298,270,1,1351510991,1476180503,0
GSM,427,1,9101,20023,0,51.48135,25.236449,1695,969,1,1351510991,1483653764,0
GSM,427,1,9101,20021,0,51.494785,25.228291,1555,1517,1,1351510991,1491498356,0
GSM,427,1,9101,24831,0,51.510857,25.231869,1343,374,1,1351510999,1480057532,0
GSM,427,1,9101,25121,0,51.498162,25.227105,1362,41,1,1351511000,1472996969,0
GSM,427,1,9101,21932,0,51.515608,25.232924,4620,2957,1,1351511000,1487424399,0
GSM,427,1,9101,21931,0,51.534268,25.238083,2259,698,1,1351511000,1488579471,0
GSM,427,1,9101,20892,0,51.542565,25.238175,2135,690,1,1351511000,1492540200,0
GSM,427,1,9101,20783,0,51.538667,25.234578,4527,512,1,1351511000,1473333055,0
GSM,427,1,9101,20472,0,51.565446,25.243649,4619,173,1,1351511000,1471417831,0
GSM,427,1,9101,22351,0,51.572792,25.240597,2793,183,1,1351511001,1476761877,0
GSM,427,1,9101,22291,0,51.575943,25.233268,2169,246,1,1351511001,1487581328,0
GSM,427,1,9101,22292,0,51.575598,25.228933,2853,627,1,1351511001,1476761937,0
GSM,427,1,9101,29572,0,51.586821,25.218938,4980,235,1,1351511001,1476405749,0
GSM,427,1,9101,23572,0,51.591191,25.231718,3551,68,1,1351511002,1472267443,0
GSM,427,1,9101,22052,0,51.588052,25.252283,1983,66,1,1351511002,1481461916,0
GSM,427,1,9101,22053,0,51.573482,25.26013,10038,127,1,1351511002,1487201670,0
GSM,427,1,9101,40732,0,51.59062,25.268195,2226,42,1,1351511002,1470778411,0
GSM,427,1,9101,22051,0,51.596759,25.263717,2248,44,1,1351511002,1487581328,0
GSM,427,1,9101,23573,0,51.589255,25.242595,3780,114,1,1351511003,1481461916,0
GSM,427,1,9101,29571,0,51.58699,25.231896,1988,36,1,1351511003,1471420285,0
LTE,427,1,9101,24562,0,51.5821,25.211714,1000,2,1,1351511003,1492540200,0
GSM,427,1,9102,23662,0,51.598877,25.183757,1270,540,1,1351511003,1477008305,0
GSM,427,1,9102,20722,0,51.60699,25.176839,3225,555,1,1351511003,1494198736,0
GSM,427,1,9102,24392,0,51.607644,25.165095,1649,252,1,1351511003,1477004199,0
GSM,427,1,9102,20712,0,51.606691,25.15979,1067,110,1,1351511003,1473298775,0
GSM,427,1,9102,23722,0,51.601408,25.149,13036,375,1,1351511003,1477218940,0
GSM,427,1,9203,24522,0,51.432506,25.167738,4483,252,1,1351533038,1482890931,0
GSM,427,1,9101,29481,0,51.495773,25.211086,2408,161,1,1351533039,1421079787,0
GSM,427,1,9101,24553,0,51.510895,25.226881,3156,1896,1,1351533040,1486702863,0
GSM,427,1,9101,22042,0,51.509475,25.232221,1304,1879,1,1351533040,1486703150,0
GSM,427,1,9101,25381,0,51.509621,25.228374,4880,369,1,1351533040,1480057081,0
GSM,427,1,9101,24461,0,51.503403,25.235096,2062,420,1,1351533042,1478512649,0
GSM,427,1,9202,20091,0,51.474541,25.237027,3913,266,1,1351533042,1481963024,0
