,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
311,GSM,427,1,9601,22921,0,51.407964,25.474909,6900,215,1,1352125444,1446848346,0
312,GSM,427,1,9601,25282,0,51.42426,25.407064,29166,457,1,1352125444,1492509614,0
313,GSM,427,1,9601,22092,0,51.440978,25.376711,2965,226,1,1352125444,1475813248,0
314,GSM,427,1,9601,22722,0,51.449286,25.360399,1341,414,1,1352125445,1475813248,0
315,GSM,427,1,9301,21603,0,51.455715,25.348903,1699,262,1,1352125445,1475813248,0
316,GSM,427,1,9301,21602,0,51.458633,25.34308,1139,413,1,1352125445,1475813251,0
317,GSM,427,1,9301,22132,0,51.476412,25.308261,1666,1531,1,1352125446,1475813254,0
318,GSM,427,1,9302,29531,0,51.476701,25.292398,1000,29,1,1352125446,1421079786,0
319,GSM,427,1,9501,25302,0,51.487645,25.274391,1903,857,1,1352125446,1490256190,0
320,GSM,427,1,9501,40382,0,51.498535,25.263599,4176,1350,1,1352125446,1489674801,0
321,GSM,427,1,9101,23361,0,51.527015,25.202002,3263,159,1,1352125448,1364343351,0
322,GSM,427,1,9102,24652,0,51.552843,25.167803,1841,52,1,1352125448,1491053151,0
323,GSM,427,1,9102,20869,0,51.547165,25.166931,1000,2,1,1352125448,1358814384,0
324,GSM,427,1,9102,25581,0,51.539794,25.154502,2766,98,1,1352125449,1491135113,0
325,GSM,427,1,9102,25851,0,51.556549,25.158997,1000,18,1,1352125449,1436171954,0
326,GSM,427,1,9102,24712,0,51.566636,25.162077,5949,347,1,1352125449,1472266065,0
327,GSM,427,1,9102,40363,0,51.574856,25.165037,1795,116,1,1352125449,1429895234,0
328,GSM,427,1,9102,40023,0,51.593005,25.173054,10381,145,1,1352125449,1477008124,0
329,GSM,427,1,9102,22702,0,51.593941,25.14985,3623,81,1,1352125449,1478439512,0
330,GSM,427,1,9102,23721,0,51.605054,25.156022,3914,248,1,1352125453,1473298775,0
331,GSM,427,1,9102,23663,0,51.598322,25.189178,1482,326,1,1352125453,1477003958,0
