,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed
104,104,25.36876833333333,51.55144,0.0,0.0,1561285801800,8,GSM,False,17382,120,427,2,-19,4,0.0
105,105,25.36876833333333,51.55144,0.0,0.0,1561285801800,9,GSM,False,17381,120,427,2,-41,4,0.0
106,106,25.36876833333333,51.55144,0.0,0.0,1561285801800,10,GSM,False,16573,120,427,2,-41,4,0.0
107,107,25.36876833333333,51.55144,0.0,0.0,1561285801800,11,GSM,False,10022,120,427,2,-71,4,0.0
108,108,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,0,GSM,True,40283,9402,427,1,-7,4,0.0
109,109,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,1,GSM,False,40282,9402,427,1,-29,4,0.0
110,110,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,2,GSM,False,40281,9402,427,1,-51,4,0.0
111,111,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,3,GSM,False,25642,9402,427,1,-77,4,0.0
112,112,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,4,GSM,False,29173,9402,427,1,-77,4,0.0
113,113,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,5,GSM,False,29171,9402,427,1,-79,4,0.0
114,114,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,6,GSM,False,49543,9402,427,1,-85,4,0.0
115,115,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,7,GSM,True,17383,120,427,2,13,4,0.0
116,116,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,8,GSM,False,17382,120,427,2,-19,4,0.0
117,117,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,9,GSM,False,17381,120,427,2,-41,4,0.0
118,118,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,10,GSM,False,16573,120,427,2,-41,4,0.0
119,119,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,11,GSM,False,10022,120,427,2,-71,4,0.0
120,120,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,0,GSM,True,40283,9402,427,1,-7,4,0.0
121,121,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,1,GSM,False,40282,9402,427,1,-29,4,0.0
122,122,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,2,GSM,False,40281,9402,427,1,-51,4,0.0
123,123,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,3,GSM,False,25642,9402,427,1,-77,4,0.0
124,124,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,4,GSM,False,29173,9402,427,1,-77,4,0.0
125,125,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,5,GSM,False,29171,9402,427,1,-79,4,0.0
126,126,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,6,GSM,False,49543,9402,427,1,-85,4,0.0
127,127,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,7,GSM,True,17383,120,427,2,13,4,0.0
128,128,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,8,GSM,False,17382,120,427,2,-19,4,0.0
129,129,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,9,GSM,False,17381,120,427,2,-41,4,0.0
130,130,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,10,GSM,False,16573,120,427,2,-41,4,0.0
131,131,25.368761666666668,51.55140500000001,0.0,0.0,1561285803778,11,GSM,False,10022,120,427,2,-71,4,0.0
132,133,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,0,GSM,True,40283,9402,427,1,-7,4,0.0
133,134,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,1,GSM,False,40282,9402,427,1,-29,4,0.0
134,135,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,2,GSM,False,40281,9402,427,1,-51,4,0.0
135,136,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,3,GSM,False,25642,9402,427,1,-77,4,0.0
136,137,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,4,GSM,False,29173,9402,427,1,-77,4,0.0
137,138,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,5,GSM,False,29171,9402,427,1,-79,4,0.0
138,139,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,6,GSM,False,49543,9402,427,1,-85,4,0.0
139,140,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,7,GSM,True,17383,120,427,2,13,4,0.0
140,141,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,8,GSM,False,17382,120,427,2,-23,4,0.0
141,142,25.36876833333333,51.55140500000001,0.0,0.0,1561285804816,9,GSM,False,16573,120,427,2,-45,4,0.0
